CMDLINE /Users/zaksingh/cambridge/rejoice/venv/bin/python ./ppo.py
MEM 0.367188 1653602347.4653
MEM 10.062500 1653602347.5684
MEM 19.554688 1653602347.6722
MEM 29.378906 1653602347.7771
MEM 36.523438 1653602347.8818
MEM 45.113281 1653602347.9824
MEM 51.148438 1653602348.0863
MEM 51.148438 1653602348.1896
MEM 65.804688 1653602348.2935
MEM 89.476562 1653602348.3985
MEM 106.144531 1653602348.5012
MEM 110.906250 1653602348.6040
MEM 114.496094 1653602348.7042
MEM 118.285156 1653602348.8070
MEM 125.707031 1653602348.9108
MEM 130.589844 1653602349.0138
MEM 133.300781 1653602349.1177
MEM 138.472656 1653602349.2228
MEM 139.269531 1653602349.3270
MEM 141.222656 1653602349.4274
MEM 143.289062 1653602349.5299
MEM 146.519531 1653602349.6338
MEM 149.824219 1653602349.7379
MEM 152.621094 1653602349.8385
MEM 157.246094 1653602349.9387
MEM 161.371094 1653602350.0396
MEM 164.718750 1653602350.1446
MEM 168.847656 1653602350.2488
MEM 171.734375 1653602350.3510
MEM 174.707031 1653602350.4534
MEM 178.085938 1653602350.5578
MEM 181.238281 1653602350.6618
MEM 183.351562 1653602350.7624
MEM 187.648438 1653602350.8675
MEM 189.671875 1653602350.9677
MEM 194.882812 1653602351.0711
MEM 196.652344 1653602351.1756
MEM 200.789062 1653602351.2800
MEM 208.832031 1653602351.3816
MEM 213.082031 1653602351.4868
MEM 216.183594 1653602351.5872
MEM 218.148438 1653602351.6900
MEM 219.175781 1653602351.7938
MEM 220.750000 1653602351.8986
MEM 221.687500 1653602352.0029
MEM 222.152344 1653602352.1079
MEM 222.261719 1653602352.2082
MEM 222.500000 1653602352.3089
MEM 222.597656 1653602352.4093
MEM 222.707031 1653602352.5142
MEM 222.906250 1653602352.6183
MEM 230.039062 1653602352.7226
MEM 243.839844 1653602352.8272
MEM 249.496094 1653602352.9318
MEM 256.433594 1653602353.0368
MEM 261.234375 1653602353.1412
MEM 264.640625 1653602353.2415
MEM 269.062500 1653602353.3446
MEM 273.750000 1653602353.4454
MEM 278.808594 1653602353.5458
MEM 283.914062 1653602353.6500
MEM 289.695312 1653602353.7510
MEM 295.480469 1653602353.8553
MEM 300.289062 1653602353.9590
MEM 303.800781 1653602354.0594
MEM 338.656250 1653602354.1644
MEM 349.960938 1653602354.2675
MEM 352.300781 1653602354.3689
MEM 354.605469 1653602354.4698
MEM 355.929688 1653602354.5703
MEM 358.277344 1653602354.6754
MEM 359.015625 1653602354.7805
MEM 359.296875 1653602354.8826
MEM 360.832031 1653602354.9830
MEM 361.464844 1653602355.0870
MEM 363.031250 1653602355.1911
MEM 363.339844 1653602355.2953
MEM 363.617188 1653602355.3992
MEM 364.703125 1653602355.5034
MEM 365.894531 1653602355.6085
MEM 367.261719 1653602355.7128
MEM 368.578125 1653602355.8175
MEM 369.242188 1653602355.9219
MEM 370.921875 1653602356.0259
MEM 372.246094 1653602356.1304
MEM 373.058594 1653602356.2326
MEM 374.125000 1653602356.3335
MEM 375.417969 1653602356.4346
MEM 376.769531 1653602356.5383
MEM 378.488281 1653602356.6413
MEM 380.789062 1653602356.7457
MEM 381.398438 1653602356.8483
MEM 382.484375 1653602356.9512
MEM 383.468750 1653602357.0548
MEM 384.167969 1653602357.1582
MEM 384.785156 1653602357.2628
MEM 386.339844 1653602357.3676
MEM 387.445312 1653602357.4693
MEM 388.339844 1653602357.5731
MEM 389.289062 1653602357.6745
MEM 389.476562 1653602357.7792
MEM 389.566406 1653602357.8793
MEM 390.585938 1653602357.9796
MEM 391.742188 1653602358.0821
MEM 392.488281 1653602358.1834
MEM 393.882812 1653602358.2851
MEM 394.660156 1653602358.3855
MEM 395.757812 1653602358.4895
MEM 396.128906 1653602358.5919
MEM 398.292969 1653602358.6961
MEM 399.765625 1653602358.8011
MEM 400.605469 1653602358.9014
MEM 401.488281 1653602359.0018
MEM 402.492188 1653602359.1037
MEM 403.140625 1653602359.2052
MEM 403.492188 1653602359.3069
MEM 403.722656 1653602359.4104
MEM 403.781250 1653602359.5106
MEM 403.812500 1653602359.6143
MEM 403.867188 1653602359.7183
MEM 405.957031 1653602359.8202
MEM 408.070312 1653602359.9243
MEM 409.640625 1653602360.0251
MEM 410.796875 1653602360.1257
MEM 411.402344 1653602360.2260
MEM 412.222656 1653602360.3268
MEM 413.265625 1653602360.4288
MEM 413.273438 1653602360.5321
MEM 413.769531 1653602360.6337
MEM 415.402344 1653602360.7344
MEM 416.539062 1653602360.8347
MEM 417.703125 1653602360.9384
MEM 417.718750 1653602361.0418
MEM 417.746094 1653602361.1468
MEM 417.789062 1653602361.2511
MEM 418.164062 1653602361.3550
MEM 418.625000 1653602361.4559
MEM 420.800781 1653602361.5567
MEM 421.132812 1653602361.6577
MEM 421.460938 1653602361.7582
MEM 421.886719 1653602361.8616
MEM 427.628906 1653602361.9626
MEM 427.839844 1653602362.0676
MEM 428.027344 1653602362.1716
MEM 428.695312 1653602362.2751
MEM 429.039062 1653602362.3772
MEM 429.191406 1653602362.4784
MEM 429.445312 1653602362.5803
MEM 429.875000 1653602362.6849
MEM 430.187500 1653602362.7893
MEM 430.929688 1653602362.8934
MEM 431.441406 1653602362.9981
MEM 432.578125 1653602363.1011
MEM 433.605469 1653602363.2016
MEM 433.734375 1653602363.3038
MEM 435.253906 1653602363.4040
MEM 438.558594 1653602363.5068
MEM 440.542969 1653602363.6080
MEM 442.152344 1653602363.7121
MEM 444.371094 1653602363.8167
MEM 446.718750 1653602363.9177
MEM 448.632812 1653602364.0199
MEM 449.984375 1653602364.1243
MEM 450.941406 1653602364.2273
MEM 452.121094 1653602364.3301
MEM 453.921875 1653602364.4311
MEM 455.347656 1653602364.5334
MEM 456.144531 1653602364.6360
MEM 457.222656 1653602364.7381
MEM 458.957031 1653602364.8396
MEM 460.105469 1653602364.9429
MEM 461.312500 1653602365.0474
MEM 461.734375 1653602365.1518
MEM 463.441406 1653602365.2540
MEM 465.265625 1653602365.3543
MEM 468.363281 1653602365.4547
MEM 469.460938 1653602365.5584
MEM 469.835938 1653602365.6586
MEM 470.011719 1653602365.7592
MEM 470.132812 1653602365.8608
MEM 470.250000 1653602365.9646
MEM 470.343750 1653602366.0684
MEM 470.453125 1653602366.1735
MEM 470.542969 1653602366.2777
MEM 470.589844 1653602366.3826
MEM 470.746094 1653602366.4877
MEM 470.765625 1653602366.5880
MEM 470.863281 1653602366.6900
MEM 470.910156 1653602366.7903
MEM 470.960938 1653602366.8947
MEM 471.019531 1653602366.9979
MEM 471.121094 1653602367.1018
MEM 471.140625 1653602367.2065
MEM 471.152344 1653602367.3115
MEM 471.187500 1653602367.4160
MEM 471.234375 1653602367.5176
MEM 471.257812 1653602367.6218
MEM 471.304688 1653602367.7264
MEM 471.363281 1653602367.8277
MEM 471.472656 1653602367.9324
MEM 471.542969 1653602368.0369
MEM 471.570312 1653602368.1415
MEM 472.015625 1653602368.2466
MEM 472.515625 1653602368.3512
MEM 482.914062 1653602368.4550
MEM 488.390625 1653602368.5592
MEM 504.691406 1653602368.6636
MEM 485.582031 1653602368.7678
MEM 486.562500 1653602368.8698
MEM 491.507812 1653602368.9718
MEM 508.382812 1653602369.0754
MEM 495.824219 1653602369.1806
MEM 487.480469 1653602369.2845
MEM 486.878906 1653602369.3851
MEM 488.382812 1653602369.4882
MEM 494.273438 1653602369.5923
MEM 506.332031 1653602369.6972
MEM 502.699219 1653602369.8013
MEM 489.816406 1653602369.9057
MEM 487.125000 1653602370.0099
MEM 487.675781 1653602370.1144
MEM 489.265625 1653602370.2193
MEM 507.554688 1653602370.3235
MEM 498.441406 1653602370.4286
MEM 486.562500 1653602370.5326
MEM 485.570312 1653602370.6334
MEM 485.574219 1653602370.7377
MEM 485.589844 1653602370.8403
MEM 485.589844 1653602370.9447
MEM 485.589844 1653602371.0497
MEM 485.589844 1653602371.1537
MEM 485.593750 1653602371.2562
MEM 485.593750 1653602371.3591
MEM 485.593750 1653602371.4625
MEM 485.593750 1653602371.5678
MEM 484.636719 1653602371.6704
MEM 483.660156 1653602371.7754
MEM 483.667969 1653602371.8803
MEM 483.679688 1653602371.9839
MEM 483.687500 1653602372.0888
MEM 483.730469 1653602372.1933
MEM 483.742188 1653602372.2936
MEM 483.750000 1653602372.3939
MEM 483.761719 1653602372.4975
MEM 483.769531 1653602372.6022
MEM 483.785156 1653602372.7060
MEM 483.789062 1653602372.8095
MEM 483.796875 1653602372.9143
MEM 483.804688 1653602373.0177
MEM 483.835938 1653602373.1221
MEM 483.863281 1653602373.2267
MEM 484.527344 1653602373.3311
MEM 485.296875 1653602373.4347
MEM 510.625000 1653602373.5356
MEM 499.941406 1653602373.6388
MEM 491.828125 1653602373.7433
MEM 492.703125 1653602373.8477
MEM 498.332031 1653602373.9517
MEM 509.957031 1653602374.0519
MEM 507.933594 1653602374.1549
MEM 491.917969 1653602374.2592
MEM 492.851562 1653602374.3594
MEM 497.242188 1653602374.4597
MEM 508.667969 1653602374.5625
MEM 510.468750 1653602374.6667
MEM 498.031250 1653602374.7716
MEM 492.515625 1653602374.8767
MEM 492.050781 1653602374.9801
MEM 498.644531 1653602375.0839
MEM 512.449219 1653602375.1846
MEM 502.753906 1653602375.2894
MEM 493.277344 1653602375.3942
MEM 492.058594 1653602375.4983
MEM 491.171875 1653602375.6026
MEM 490.179688 1653602375.7053
MEM 490.179688 1653602375.8077
MEM 490.179688 1653602375.9113
MEM 490.179688 1653602376.0155
MEM 490.179688 1653602376.1177
MEM 490.179688 1653602376.2179
MEM 490.179688 1653602376.3209
MEM 490.179688 1653602376.4248
MEM 490.179688 1653602376.5290
MEM 489.300781 1653602376.6342
MEM 489.300781 1653602376.7394
MEM 489.300781 1653602376.8431
MEM 489.359375 1653602376.9477
MEM 489.359375 1653602377.0522
MEM 489.363281 1653602377.1560
MEM 489.406250 1653602377.2565
MEM 489.417969 1653602377.3590
MEM 489.425781 1653602377.4592
MEM 489.429688 1653602377.5600
MEM 489.437500 1653602377.6620
MEM 489.453125 1653602377.7622
MEM 489.457031 1653602377.8625
MEM 489.464844 1653602377.9668
MEM 489.492188 1653602378.0715
MEM 489.589844 1653602378.1760
MEM 489.750000 1653602378.2787
MEM 490.351562 1653602378.3839
MEM 491.066406 1653602378.4843
MEM 501.566406 1653602378.5859
MEM 513.417969 1653602378.6889
MEM 515.437500 1653602378.7932
MEM 500.132812 1653602378.8983
MEM 495.769531 1653602379.0021
MEM 496.218750 1653602379.1069
MEM 495.804688 1653602379.2099
MEM 502.863281 1653602379.3124
MEM 515.042969 1653602379.4168
MEM 511.109375 1653602379.5177
MEM 498.273438 1653602379.6211
MEM 496.039062 1653602379.7236
MEM 497.183594 1653602379.8269
MEM 498.042969 1653602379.9313
MEM 512.503906 1653602380.0336
MEM 516.101562 1653602380.1377
MEM 500.582031 1653602380.2400
MEM 497.050781 1653602380.3431
MEM 495.335938 1653602380.4467
MEM 495.339844 1653602380.5512
MEM 495.339844 1653602380.6551
MEM 493.472656 1653602380.7595
MEM 493.472656 1653602380.8628
MEM 493.472656 1653602380.9678
MEM 493.472656 1653602381.0721
MEM 493.476562 1653602381.1737
MEM 493.476562 1653602381.2749
MEM 493.476562 1653602381.3779
MEM 493.476562 1653602381.4813
MEM 493.476562 1653602381.5859
MEM 493.480469 1653602381.6903
MEM 493.480469 1653602381.7948
MEM 493.480469 1653602381.8991
